id,type,text,start_char,end_char,normalized
GOVERNMENT_BODY_وزارة_العدل_1,GOVERNMENT_BODY,وزارة العدل,17,27,Wizarat Al-Adl
COURT_محكمة_النقض_1,COURT,محكمة النقض,28,39,Mahkamat Al-Naqd
SECTION_القسم_الإداري_1,SECTION,القسم الإداري,40,53,Al-Qism Al-Idari
CASE_789/2025_1,CASE,قرار عدد: 789/2025,54,71,789/2025
CASE_1289/5/4/2025_2,CASE,ملف إداري عدد: 1289/5/4/2025,72,98,1289/5/4/2025
DATE_2025-06-12_1,DATE,12 يونيو 2025,113,124,2025-06-12
JUDGE_رئيس_الغرفة_الإدارية_1,JUDGE,رئيس الغرفة الإدارية,210,230,Raees Al-Ghurfa Al-Idariya
ATTORNEY_GENERAL_المحامي_العام_1,ATTORNEY_GENERAL,المحامي العام,247,260,Al-Muhami Al-Aam
COURT_CLERK_كاتبة_الضبط_1,COURT_CLERK,كاتبة الضبط,276,288,Katibat Al-Dabt
PERSON_ع.م_1,PERSON,السيد ع.م,368,377,A.M
GOVERNMENT_BODY_جمعية_فضاء_الحريات_الرقمية_1,GOVERNMENT_BODY,"جمعية ""فضاء الحريات الرقمية""",389,419,Jamiat Fada Al-Hurriyat Al-Raqmiya
LAWYER_ن.ل_1,LAWYER,الأستاذة (ن.ل),431,445,N.L
COURT_المحكمة_الإدارية_بالرباط_1,COURT,المحكمة الإدارية بالرباط,452,476,Al-Mahkama Al-Idariya Bil-Rabat
CASE_2456/2024_3,CASE,عدد 2456/2024,477,490,2456/2024
DATE_2024-12-20_2,DATE,20 دجنبر 2024,499,511,2024-12-20
GOVERNMENT_BODY_والي_جهة_الرباط-سلا-القنيطرة_1,GOVERNMENT_BODY,والي جهة الرباط-سلا-القنيطرة,556,586,Wali Jiha Al-Rabat-Sala-Al-Quneitra
LAW_589/و/2024_1,LAW,تحت رقم 589/و/2024,593,611,589/و/2024
DATE_2024-11-15_3,DATE,15 نونبر 2024,623,635,2024-11-15
LAW_1.11.91_2,LAW,ظهير شريف رقم 1.11.91,1080,1101,1.11.91
DATE_2011-07-29_4,DATE,29 يوليو 2011,1134,1146,2011-07-29
OFFICIAL_JOURNAL_5964_1,OFFICIAL_JOURNAL,الجريدة الرسمية عدد 5964,1160,1184,5964
DATE_2011-07-30_5,DATE,30 يوليو 2011,1193,1205,2011-07-30
LAW_44.12_3,LAW,القانون التنظيمي رقم 44.12,1230,1257,44.12
LAW_1.58.376_4,LAW,الظهير الشريف رقم 1.58.376,1310,1337,1.58.376
LAW_دستور_2011_5,LAW,دستور 2011,1425,1435,Dostour 2011
ARTICLE_1_1,ARTICLE,الفصل الأول,1600,1610,1
ARTICLE_3_2,ARTICLE,الفصل 3,1665,1672,3
ARTICLE_4_3,ARTICLE,الفصل 4,1725,1732,4
ARTICLE_7_4,ARTICLE,الفصل 7,1785,1792,7
ARTICLE_25_5,ARTICLE,الفصل 25,1845,1853,25
ARTICLE_29_6,ARTICLE,الفصل 29,1905,1913,29
ARTICLE_37_7,ARTICLE,الفصل 37,2060,2068,37
JUDGE_محمد_بنعيسى_2,JUDGE,السيد محمد بنعيسى,3030,3047,Mohamed Benaisa
JUDGE_فاطمة_الزهراء_الإدريسي_3,JUDGE,السيدة فاطمة الزهراء الإدريسي,3065,3095,Fatima Zahra Idrissi
ATTORNEY_GENERAL_عبد_الرحيم_العلوي_2,ATTORNEY_GENERAL,السيد عبد الرحيم العلوي,3109,3134,Abd Al-Rahim Al-Alawi
COURT_CLERK_خديجة_الوردي_2,COURT_CLERK,السيدة خديجة الوردي,3148,3169,Khadija Al-Wardi
INTERNAL_REF_7-12_1,INTERNAL_REF,من 7 إلى 12,1711,1722,7-12
ARTICLE_8_1,ARTICLE,8,1711,1711,8
ARTICLE_9_1,ARTICLE,9,1711,1711,9
ARTICLE_10_1,ARTICLE,10,1711,1711,10
ARTICLE_11_1,ARTICLE,11,1711,1711,11
ARTICLE_12_1,ARTICLE,12,1711,1711,12
